"1.2. Halálozások száma nemek és korcsoportok szerint, hetente",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Év,A hét,,,Férfi ,,,,,,,,,,,,,,Nő ,,,,,,,,,,,,,,Összesen,,,,,,,,,,,,,
,sor-száma,kezdő napja, záró napja,0–34,35–39,40–44,45–49,50–54,55–59,60–64,65–69,70–74,75–79,80–84,85–89,90+,Összesen,0–34,35–39,40–44,45–49,50–54,55–59,60–64,65–69,70–74,75–79,80–84,85–89,90+,Összesen,0–34,35–39,40–44,45–49,50–54,55–59,60–64,65–69,70–74,75–79,80–84,85–89,90+,Összesen
,,,,éves,,,,,,,,,,,,,,éves,,,,,,,,,,,,,,éves,,,,,,,,,,,,,
,8.,2016/ február 22.,2016/ február 28.,29,11,13,31,57,106,145,155,164,173,147,120,72,"1,223",19,5,11,24,25,47,90,94,99,174,224,249,207,"1,268",48,16,24,55,82,153,235,249,263,347,371,369,279,"2,491"
,9.,2016/ február 29.,2016/ március 6.,19,10,12,27,46,113,182,174,176,171,152,112,68,"1,262",13,2,7,17,19,51,80,111,125,179,236,235,198,"1,273",32,12,19,44,65,164,262,285,301,350,388,347,266,"2,535"
,10.,2016/ március 7.,2016/ március 13.,15,12,27,35,51,110,155,175,136,163,165,102,50,"1,196",11,7,14,13,27,35,83,112,127,190,219,261,201,"1,300",26,19,41,48,78,145,238,287,263,353,384,363,251,"2,496"
,11.,2016/ március 14.,2016/ március 20.,19,12,15,28,62,91,160,155,185,149,151,116,72,"1,215",15,5,6,16,25,47,78,97,129,184,237,202,182,"1,223",34,17,21,44,87,138,238,252,314,333,388,318,254,"2,438"
,12.,2016/ március 21.,2016/ március 27.,25,9,12,38,53,106,157,154,151,175,182,116,65,"1,243",8,4,7,15,29,45,83,91,112,171,238,255,180,"1,238",33,13,19,53,82,151,240,245,263,346,420,371,245,"2,481"
,13.,2016/ március 28.,2016/ április 3.,16,9,16,31,56,114,157,180,155,168,160,116,69,"1,247",6,5,16,13,29,51,87,100,117,176,224,260,206,"1,290",22,14,32,44,85,165,244,280,272,344,384,376,275,"2,537"
,14.,2016/ április 4.,2016/ április 10.,21,10,16,34,64,92,155,148,160,165,144,106,69,"1,184",11,7,8,8,25,57,80,97,145,168,220,259,187,"1,272",32,17,24,42,89,149,235,245,305,333,364,365,256,"2,456"
,15.,2016/ április 11.,2016/ április 17.,27,12,15,46,50,90,146,155,128,151,139,106,57,"1,122",15,6,9,20,26,43,74,107,95,184,213,219,185,"1,196",42,18,24,66,76,133,220,262,223,335,352,325,242,"2,318"
,16.,2016/ április 18.,2016/ április 24.,16,7,23,32,43,93,139,156,134,147,135,117,66,"1,108",11,4,8,17,20,49,77,91,125,190,224,231,194,"1,241",27,11,31,49,63,142,216,247,259,337,359,348,260,"2,349"
,17.,2016/ április 25.,2016/ május 1.,19,10,13,34,38,104,165,190,156,153,159,100,76,"1,217",22,11,15,20,26,36,75,86,84,152,237,214,169,"1,147",41,21,28,54,64,140,240,276,240,305,396,314,245,"2,364"
,18.,2016/ május 2.,2016/ május 8.,16,15,20,25,51,85,145,181,157,126,135,98,70,"1,124",10,1,9,19,20,39,72,86,111,165,209,224,190,"1,155",26,16,29,44,71,124,217,267,268,291,344,322,260,"2,279"
,19.,2016/ május 9.,2016/ május 15.,20,10,18,27,59,97,151,154,155,148,161,130,71,"1,201",12,11,10,11,18,51,89,101,122,152,191,212,189,"1,169",32,21,28,38,77,148,240,255,277,300,352,342,260,"2,370"
,20.,2016/ május 16.,2016/ május 22.,17,7,24,33,65,113,144,157,158,168,128,99,81,"1,194",17,5,11,12,17,46,85,96,123,162,224,225,164,"1,187",34,12,35,45,82,159,229,253,281,330,352,324,245,"2,381"
,21.,2016/ május 23.,2016/ május 29.,19,6,19,23,64,88,149,157,148,139,159,112,58,"1,141",6,9,3,14,22,43,80,93,100,166,216,202,166,"1,120",25,15,22,37,86,131,229,250,248,305,375,314,224,"2,261"
,22.,2016/ május 30.,2016/ június 5.,26,10,18,26,41,95,147,174,150,147,132,94,58,"1,118",12,5,5,12,27,44,83,94,125,146,214,231,169,"1,167",38,15,23,38,68,139,230,268,275,293,346,325,227,"2,285"
,23.,2016/ június 6.,2016/ június 12.,23,8,24,33,53,90,135,163,181,129,139,116,57,"1,151",8,5,3,19,29,49,69,102,101,146,196,182,175,"1,084",31,13,27,52,82,139,204,265,282,275,335,298,232,"2,235"
,24.,2016/ június 13.,2016/ június 19.,23,16,18,24,54,91,130,134,144,145,138,106,64,"1,087",12,3,6,12,26,34,84,87,82,141,202,203,172,"1,064",35,19,24,36,80,125,214,221,226,286,340,309,236,"2,151"
,25.,2016/ június 20.,2016/ június 26.,21,13,10,39,45,74,150,173,185,172,163,113,59,"1,217",10,10,14,11,26,43,83,101,110,188,240,225,203,"1,264",31,23,24,50,71,117,233,274,295,360,403,338,262,"2,481"
,26.,2016/ június 27.,2016/ július 3.,26,13,16,38,48,92,137,174,134,154,132,96,65,"1,125",9,4,11,18,26,51,92,111,88,158,207,230,173,"1,178",35,17,27,56,74,143,229,285,222,312,339,326,238,"2,303"
,27.,2016/ július 4.,2016/ július 10.,34,11,14,28,50,91,127,153,139,153,154,104,57,"1,115",6,1,7,8,19,40,44,83,107,135,219,162,156,987,40,12,21,36,69,131,171,236,246,288,373,266,213,"2,102"
,28.,2016/ július 11.,2016/ július 17.,26,13,15,34,58,100,148,156,150,155,146,104,60,"1,165",11,3,13,15,15,44,81,89,116,159,202,194,169,"1,111",37,16,28,49,73,144,229,245,266,314,348,298,229,"2,276"
,29.,2016/ július 18.,2016/ július 24.,22,11,17,37,61,83,138,159,127,152,128,81,63,"1,079",18,–,7,9,16,43,67,95,113,167,216,199,181,"1,131",40,11,24,46,77,126,205,254,240,319,344,280,244,"2,210"
,30.,2016/ július 25.,2016/ július 31.,24,10,14,36,54,83,158,145,149,143,134,106,55,"1,111",6,4,8,11,24,53,85,94,127,154,207,223,170,"1,166",30,14,22,47,78,136,243,239,276,297,341,329,225,"2,277"
,31.,2016/ augusztus 1.,2016/ augusztus 7.,17,11,15,34,35,79,153,146,141,168,152,102,55,"1,108",10,5,13,12,25,51,60,75,128,157,201,219,157,"1,113",27,16,28,46,60,130,213,221,269,325,353,321,212,"2,221"
,32.,2016/ augusztus 8.,2016/ augusztus 14.,26,8,15,30,46,78,157,127,158,106,131,106,67,"1,055",11,4,10,16,24,49,69,82,112,157,202,197,132,"1,065",37,12,25,46,70,127,226,209,270,263,333,303,199,"2,120"
,33.,2016/ augusztus 15.,2016/ augusztus 21.,17,6,16,23,49,88,142,140,141,129,127,114,61,"1,053",12,7,10,11,23,43,81,68,120,164,248,216,166,"1,169",29,13,26,34,72,131,223,208,261,293,375,330,227,"2,222"
,34.,2016/ augusztus 22.,2016/ augusztus 28.,12,11,13,36,43,102,151,144,144,158,137,110,62,"1,123",5,8,4,14,21,39,79,77,129,158,225,207,152,"1,118",17,19,17,50,64,141,230,221,273,316,362,317,214,"2,241"
,35.,2016/ augusztus 29.,2016/ szeptember 4.,19,10,17,39,59,96,170,130,172,161,151,104,56,"1,184",12,7,9,8,23,41,80,85,106,184,210,201,170,"1,136",31,17,26,47,82,137,250,215,278,345,361,305,226,"2,320"
